Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
276,80,588,200
204,64,272,312
212,72,396,488
224,68,276,284
188,64,252,248
164,60,268,224
332,76,576,180
164,60,296,208
52,20,144,12
280,76,408,464
368,92,576,200
188,68,268,228
264,76,564,156
216,64,240,220
376,88,548,188
196,64,256,240
232,76,436,396
304,80,532,152
56,20,212,28
196,60,248,200
148,56,292,252
252,72,444,524
144,56,248,252
64,28,176,12
152,56,296,220
212,64,292,264
212,64,252,208
288,80,512,148
176,60,288,228
104,44,208,24
212,68,276,232
340,80,544,160
176,60,284,256
180,64,296,300
68,28,220,8
144,56,272,284
324,80,588,176
180,60,232,216
260,72,468,148
332,80,560,172
44,8,148,12
352,84,592,180
212,68,312,280
64,28,212,12
256,72,516,168
304,76,544,172
96,48,244,228
356,80,552,172
324,80,588,224
204,68,484,116
268,84,572,188
308,76,540,168
396,84,592,200
148,56,256,216
320,76,508,164
268,72,680,100
304,76,496,172
300,80,628,216
280,76,564,152
188,68,440,408
296,72,504,144
48,12,140,8
272,76,416,632
168,56,248,252
184,108,340,364
52,20,192,16
48,12,232,12
204,64,316,224
152,56,276,72
160,56,276,312
72,32,148,8
100,44,176,24
228,72,348,268
156,60,268,216
216,68,296,308
64,28,176,16
212,68,268,236
376,80,576,216
236,72,324,340
320,84,564,164
88,36,256,20
224,64,256,244
56,24,188,16
52,20,192,8
300,80,572,184
156,60,264,292
188,72,416,332
204,64,252,208
60,24,152,16
168,60,200,212
368,80,680,108
216,64,268,208
168,60,348,276
300,76,572,176
176,60,276,248
308,76,472,148
336,84,540,176
300,84,752,112
232,72,440,368
60,28,204,52
208,64,312,284
216,68,276,244
216,68,292,272
200,64,284,36
252,72,536,180
228,72,512,144
204,64,240,220
204,64,292,244
320,84,624,208
68,32,248,28
184,64,268,232
376,84,572,216
300,76,480,148
176,60,296,280
336,80,548,188
216,72,532,160
272,72,544,172
344,84,556,176
220,64,212,200
192,64,280,256
348,80,536,188
336,80,708,120
204,64,296,336
240,68,488,140
188,64,228,188
160,60,280,204
168,60,236,196
344,84,624,204
204,68,448,376
124,48,236,24
392,80,540,192
188,60,240,208
168,60,292,204
340,76,580,220
352,84,584,160
340,84,744,124
80,36,236,16
156,60,268,236
312,84,580,176
292,76,556,156
60,28,208,16
280,76,524,180
160,60,256,168
244,68,320,292
428,88,772,140
148,56,228,216
156,68,260,252
220,68,228,268
144,56,352,280
52,20,256,12
204,64,280,232
292,76,340,356
332,84,540,172
