Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal,,,,,,,,,,,,,,,,,,,,,,Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
192,64,580,148,,,,,,,,,,,,,,,,,,,,,,192,64,580,148
316,76,560,148,,,,,,,,,,,,,,,,,,,,,,316,76,560,148
88,36,264,24,,,,,,,,,,,,,,,,,,,,,,88,36,264,24
280,76,532,172,,,,,,,,,,,,,,,,,,,,,,280,76,532,172
96,40,228,20,,,,,,,,,,,,,,,,,,,,,,96,40,228,20
228,76,584,168,,,,,,,,,,,,,,,,,,,,,,228,76,584,168
208,64,288,264,,,,,,,,,,,,,,,,,,,,,,208,64,288,264
48,16,140,20,,,,,,,,,,,,,,,,,,,,,,48,16,140,20
44,12,176,20,,,,,,,,,,,,,,,,,,,,,,44,12,176,20
340,80,604,188,,,,,,,,,,,,,,,,,,,,,,340,80,604,188
52,20,120,16,,,,,,,,,,,,,,,,,,,,,,52,20,120,16
44,12,148,12,,,,,,,,,,,,,,,,,,,,,,44,12,148,12
48,16,228,24,,,,,,,,,,,,,,,,,,,,,,48,16,228,24
368,84,644,212,,,,,,,,,,,,,,,,,,,,,,368,84,644,212
232,72,452,432,,,,,,,,,,,,,,,,,,,,,,232,72,452,432
364,84,588,212,,,,,,,,,,,,,,,,,,,,,,364,84,588,212
72,28,232,32,,,,,,,,,,,,,,,,,,,,,,72,28,232,32
76,32,284,36,,,,,,,,,,,,,,,,,,,,,,76,32,284,36
136,52,284,52,,,,,,,,,,,,,,,,,,,,,,136,52,284,52
260,68,524,160,,,,,,,,,,,,,,,,,,,,,,260,68,524,160
248,72,496,364,,,,,,,,,,,,,,,,,,,,,,248,72,496,364
52,20,208,20,,,,,,,,,,,,,,,,,,,,,,52,20,208,20
268,72,516,200,,,,,,,,,,,,,,,,,,,,,,268,72,516,200
64,28,300,48,,,,,,,,,,,,,,,,,,,,,,64,28,300,48
332,84,572,132,,,,,,,,,,,,,,,,,,,,,,332,84,572,132
328,80,556,176,,,,,,,,,,,,,,,,,,,,,,328,80,556,176
296,88,564,164,,,,,,,,,,,,,,,,,,,,,,296,88,564,164
48,16,200,4,,,,,,,,,,,,,,,,,,,,,,48,16,200,4
112,48,196,24,,,,,,,,,,,,,,,,,,,,,,112,48,196,24
356,80,616,232,,,,,,,,,,,,,,,,,,,,,,356,80,616,232
44,8,132,12,,,,,,,,,,,,,,,,,,,,,,44,8,132,12
80,36,284,32,,,,,,,,,,,,,,,,,,,,,,80,36,284,32
140,56,280,204,,,,,,,,,,,,,,,,,,,,,,140,56,280,204
44,8,176,16,,,,,,,,,,,,,,,,,,,,,,44,8,176,16
340,88,596,200,,,,,,,,,,,,,,,,,,,,,,340,88,596,200
48,16,204,24,,,,,,,,,,,,,,,,,,,,,,48,16,204,24
296,80,552,184,,,,,,,,,,,,,,,,,,,,,,296,80,552,184
344,80,532,176,,,,,,,,,,,,,,,,,,,,,,344,80,532,176
336,76,596,188,,,,,,,,,,,,,,,,,,,,,,336,76,596,188
360,88,604,220,,,,,,,,,,,,,,,,,,,,,,360,88,604,220
56,20,200,12,,,,,,,,,,,,,,,,,,,,,,56,20,200,12
312,80,620,164,,,,,,,,,,,,,,,,,,,,,,312,80,620,164
44,8,184,16,,,,,,,,,,,,,,,,,,,,,,44,8,184,16
284,76,416,448,,,,,,,,,,,,,,,,,,,,,,284,76,416,448
260,72,564,164,,,,,,,,,,,,,,,,,,,,,,260,72,564,164
56,24,256,28,,,,,,,,,,,,,,,,,,,,,,56,24,256,28
352,84,540,192,,,,,,,,,,,,,,,,,,,,,,352,84,540,192
48,16,152,20,,,,,,,,,,,,,,,,,,,,,,48,16,152,20
316,80,600,200,,,,,,,,,,,,,,,,,,,,,,316,80,600,200
404,84,632,220,,,,,,,,,,,,,,,,,,,,,,404,84,632,220
64,24,172,12,,,,,,,,,,,,,,,,,,,,,,64,24,172,12
272,76,600,172,,,,,,,,,,,,,,,,,,,,,,272,76,600,172
200,68,260,224,,,,,,,,,,,,,,,,,,,,,,200,68,260,224
380,84,636,192,,,,,,,,,,,,,,,,,,,,,,380,84,636,192
60,24,148,28,,,,,,,,,,,,,,,,,,,,,,60,24,148,28
388,84,616,220,,,,,,,,,,,,,,,,,,,,,,388,84,616,220
308,80,548,160,,,,,,,,,,,,,,,,,,,,,,308,80,548,160
56,24,168,24,,,,,,,,,,,,,,,,,,,,,,56,24,168,24
256,68,504,184,,,,,,,,,,,,,,,,,,,,,,256,68,504,184
48,16,208,24,,,,,,,,,,,,,,,,,,,,,,48,16,208,24
256,72,524,184,,,,,,,,,,,,,,,,,,,,,,256,72,524,184
76,32,204,28,,,,,,,,,,,,,,,,,,,,,,76,32,204,28
232,76,448,388,,,,,,,,,,,,,,,,,,,,,,232,76,448,388
60,28,212,16,,,,,,,,,,,,,,,,,,,,,,60,28,212,16
368,96,604,224,,,,,,,,,,,,,,,,,,,,,,368,96,604,224
384,84,596,216,,,,,,,,,,,,,,,,,,,,,,384,84,596,216
48,12,152,4,,,,,,,,,,,,,,,,,,,,,,48,12,152,4
48,12,128,12,,,,,,,,,,,,,,,,,,,,,,48,12,128,12
340,80,520,164,,,,,,,,,,,,,,,,,,,,,,340,80,520,164
44,12,144,12,,,,,,,,,,,,,,,,,,,,,,44,12,144,12
280,88,616,152,,,,,,,,,,,,,,,,,,,,,,280,88,616,152
300,76,580,184,,,,,,,,,,,,,,,,,,,,,,300,76,580,184
296,76,584,176,,,,,,,,,,,,,,,,,,,,,,296,76,584,176
44,8,164,20,,,,,,,,,,,,,,,,,,,,,,44,8,164,20
60,24,176,12,,,,,,,,,,,,,,,,,,,,,,60,24,176,12
380,80,608,200,,,,,,,,,,,,,,,,,,,,,,380,80,608,200
56,24,232,28,,,,,,,,,,,,,,,,,,,,,,56,24,232,28
348,76,572,212,,,,,,,,,,,,,,,,,,,,,,348,76,572,212
308,80,564,148,,,,,,,,,,,,,,,,,,,,,,308,80,564,148
352,84,600,204,,,,,,,,,,,,,,,,,,,,,,352,84,600,204
400,100,704,124,,,,,,,,,,,,,,,,,,,,,,400,100,704,124
296,80,568,204,,,,,,,,,,,,,,,,,,,,,,296,80,568,204
60,32,192,20,,,,,,,,,,,,,,,,,,,,,,60,32,192,20
44,12,164,24,,,,,,,,,,,,,,,,,,,,,,44,12,164,24
364,84,612,192,,,,,,,,,,,,,,,,,,,,,,364,84,612,192
364,84,604,216,,,,,,,,,,,,,,,,,,,,,,364,84,604,216
56,24,240,20,,,,,,,,,,,,,,,,,,,,,,56,24,240,20
48,16,176,8,,,,,,,,,,,,,,,,,,,,,,48,16,176,8
264,76,584,176,,,,,,,,,,,,,,,,,,,,,,264,76,584,176
48,12,160,16,,,,,,,,,,,,,,,,,,,,,,48,12,160,16
44,12,228,24,,,,,,,,,,,,,,,,,,,,,,44,12,228,24
384,88,628,264,,,,,,,,,,,,,,,,,,,,,,384,88,628,264
60,24,200,12,,,,,,,,,,,,,,,,,,,,,,60,24,200,12
304,80,592,168,,,,,,,,,,,,,,,,,,,,,,304,80,592,168
236,72,520,148,,,,,,,,,,,,,,,,,,,,,,236,72,520,148
276,72,516,144,,,,,,,,,,,,,,,,,,,,,,276,72,516,144
288,80,556,148,,,,,,,,,,,,,,,,,,,,,,288,80,556,148
192,72,428,384,,,,,,,,,,,,,,,,,,,,,,192,72,428,384
412,88,732,140,,,,,,,,,,,,,,,,,,,,,,412,88,732,140
312,80,544,172,,,,,,,,,,,,,,,,,,,,,,312,80,544,172
56,24,192,24,,,,,,,,,,,,,,,,,,,,,,56,24,192,24
64,28,220,20,,,,,,,,,,,,,,,,,,,,,,64,28,220,20
324,92,532,168,,,,,,,,,,,,,,,,,,,,,,324,92,532,168
204,64,248,248,,,,,,,,,,,,,,,,,,,,,,204,64,248,248
60,28,296,24,,,,,,,,,,,,,,,,,,,,,,60,28,296,24
388,92,652,220,,,,,,,,,,,,,,,,,,,,,,388,92,652,220
348,80,604,188,,,,,,,,,,,,,,,,,,,,,,348,80,604,188
188,72,428,156,,,,,,,,,,,,,,,,,,,,,,188,72,428,156
280,76,564,192,,,,,,,,,,,,,,,,,,,,,,280,76,564,192
296,80,576,168,,,,,,,,,,,,,,,,,,,,,,296,80,576,168
360,84,628,188,,,,,,,,,,,,,,,,,,,,,,360,84,628,188
388,88,600,216,,,,,,,,,,,,,,,,,,,,,,388,88,600,216
200,60,244,212,,,,,,,,,,,,,,,,,,,,,,200,60,244,212
300,76,612,180,,,,,,,,,,,,,,,,,,,,,,300,76,612,180
244,80,608,180,,,,,,,,,,,,,,,,,,,,,,244,80,608,180
232,76,440,480,,,,,,,,,,,,,,,,,,,,,,232,76,440,480
336,76,576,188,,,,,,,,,,,,,,,,,,,,,,336,76,576,188
296,72,496,156,,,,,,,,,,,,,,,,,,,,,,296,72,496,156
68,28,220,24,,,,,,,,,,,,,,,,,,,,,,68,28,220,24
196,64,236,252,,,,,,,,,,,,,,,,,,,,,,196,64,236,252
48,16,160,20,,,,,,,,,,,,,,,,,,,,,,48,16,160,20
196,64,308,352,,,,,,,,,,,,,,,,,,,,,,196,64,308,352
48,12,120,16,,,,,,,,,,,,,,,,,,,,,,48,12,120,16
348,80,572,200,,,,,,,,,,,,,,,,,,,,,,348,80,572,200
160,60,280,344,,,,,,,,,,,,,,,,,,,,,,160,60,280,344
196,68,224,244,,,,,,,,,,,,,,,,,,,,,,196,68,224,244
308,76,508,164,,,,,,,,,,,,,,,,,,,,,,308,76,508,164
316,76,556,180,,,,,,,,,,,,,,,,,,,,,,316,76,556,180
44,8,168,20,,,,,,,,,,,,,,,,,,,,,,44,8,168,20
44,8,204,20,,,,,,,,,,,,,,,,,,,,,,44,8,204,20
364,84,568,220,,,,,,,,,,,,,,,,,,,,,,364,84,568,220
352,80,616,196,,,,,,,,,,,,,,,,,,,,,,352,80,616,196
284,76,596,192,,,,,,,,,,,,,,,,,,,,,,284,76,596,192
332,80,476,152,,,,,,,,,,,,,,,,,,,,,,332,80,476,152
48,16,212,12,,,,,,,,,,,,,,,,,,,,,,48,16,212,12
352,80,580,212,,,,,,,,,,,,,,,,,,,,,,352,80,580,212
356,84,604,192,,,,,,,,,,,,,,,,,,,,,,356,84,604,192
144,60,264,220,,,,,,,,,,,,,,,,,,,,,,144,60,264,220
428,96,636,236,,,,,,,,,,,,,,,,,,,,,,428,96,636,236
80,36,300,20,,,,,,,,,,,,,,,,,,,,,,80,36,300,20
56,20,176,24,,,,,,,,,,,,,,,,,,,,,,56,20,176,24
292,80,616,192,,,,,,,,,,,,,,,,,,,,,,292,80,616,192
72,32,264,24,,,,,,,,,,,,,,,,,,,,,,72,32,264,24
80,36,220,16,,,,,,,,,,,,,,,,,,,,,,80,36,220,16
216,72,400,352,,,,,,,,,,,,,,,,,,,,,,216,72,400,352
68,32,220,20,,,,,,,,,,,,,,,,,,,,,,68,32,220,20
72,36,248,32,,,,,,,,,,,,,,,,,,,,,,72,36,248,32
292,76,536,160,,,,,,,,,,,,,,,,,,,,,,292,76,536,160
204,68,420,420,,,,,,,,,,,,,,,,,,,,,,204,68,420,420
292,76,608,180,,,,,,,,,,,,,,,,,,,,,,292,76,608,180
320,76,648,200,,,,,,,,,,,,,,,,,,,,,,320,76,648,200
208,68,292,264,,,,,,,,,,,,,,,,,,,,,,208,68,292,264
80,36,256,36,,,,,,,,,,,,,,,,,,,,,,80,36,256,36
